Soil Moisture,Percentage,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h)
75.6,0.456875,19.89,4.641,22.11,22.451
100.0,0.44625,20.28,4.615,22.04,23.14
94.8,0.44625,20.68,4.5889999999999995,21.97,23.816000000000003
2.4,0.43562499999999993,21.21,4.758,21.44,24.388
58.8,0.43562499999999993,21.74,4.914,20.9,24.96
76.8,0.43562499999999993,22.44,4.4590000000000005,20.58,23.712
85.2,0.43562499999999993,23.13,4.0040000000000004,20.27,22.451
61.199999999999996,0.44625,23.76,4.446,19.5,24.622000000000003
80.39999999999999,0.44625,24.4,4.901,18.73,26.78
14.399999999999999,0.43562499999999993,25.04,5.356000000000001,17.96,28.951
80.39999999999999,0.425,25.67,5.798,17.2,31.122000000000003
64.8,0.414375,26.3,6.253,16.43,33.28
58.8,0.414375,26.94,6.695,15.66,35.451
28.799999999999997,0.425,27.38,8.918000000000001,14.2,44.174
32.4,0.425,27.83,11.141,12.75,52.884
60.0,0.43562499999999993,28.14,10.998000000000001,12.24,45.708
61.199999999999996,0.43562499999999993,28.46,10.868,11.74,38.519
45.6,0.44625,28.94,10.959,11.29,37.401
27.599999999999998,0.44625,29.42,11.05,10.84,36.283
32.4,0.44625,29.82,11.336000000000002,10.43,47.021
86.39999999999999,0.456875,30.22,11.635,10.02,57.772
100.0,0.4675,30.54,11.622,9.84,44.330000000000005
43.199999999999996,0.456875,30.86,11.622,9.65,30.888
4.8,0.456875,31.27,11.57,9.33,34.554
25.2,0.456875,31.69,11.517999999999999,9.01,38.22
9.6,0.456875,32.1,11.466000000000001,8.7,41.886
6.0,0.44625,32.51,11.414,8.38,45.552
1.2,0.456875,32.93,11.362,8.06,49.218
2.4,0.4675,33.34,11.309999999999999,7.74,52.884
75.6,0.4675,33.28,13.78,7.15,51.61000000000001
20.4,0.4675,33.23,16.263,6.56,50.323
39.6,0.47812499999999997,33.62,15.314,6.36,52.052
25.2,0.47812499999999997,34.01,14.378000000000002,6.17,53.794000000000004
100.0,0.48874999999999996,34.36,14.547,5.97,44.044000000000004
42.0,0.499375,34.71,14.716000000000001,5.77,34.281000000000006
97.2,0.51,35.04,14.482000000000001,5.66,47.138
52.8,0.499375,35.37,14.248000000000001,5.56,59.995
63.599999999999994,0.51,35.04,15.587000000000002,5.48,51.961
30.0,0.520625,34.71,16.926,5.41,43.94
26.4,0.53125,35.13,16.458000000000002,5.28,43.62800000000001
68.39999999999999,0.541875,35.55,15.977,5.14,43.329
18.0,0.5525,35.55,16.185,5.13,43.043
39.6,0.5525,35.55,16.393,5.12,42.74400000000001
24.0,0.541875,36.0,15.496,4.88,61.373000000000005
62.4,0.53125,36.46,14.599,4.64,80.002
56.4,0.520625,36.39,15.054,4.66,60.528000000000006
75.6,0.520625,36.33,15.496,4.69,41.054
57.599999999999994,0.51,36.33,16.068,4.48,42.79600000000001
18.0,0.499375,36.32,16.653000000000002,4.28,44.525
100.0,0.51,36.32,17.238,4.07,46.254
36.0,0.520625,36.31,17.81,3.86,47.996
100.0,0.520625,36.53,16.978,3.92,40.768
33.6,0.51,36.76,16.159,3.97,33.553
100.0,0.51,37.06,15.288,3.88,54.834
49.199999999999996,0.499375,37.36,14.417,3.8,76.102
69.6,0.499375,37.69,14.222,3.72,82.615
87.6,0.499375,38.02,14.040000000000001,3.65,89.14099999999999
100.0,0.499375,37.6,15.171000000000001,3.51,68.19800000000001
100.0,0.499375,37.17,16.302,3.38,47.268
100.0,0.499375,36.66,16.692,3.75,43.381
34.8,0.48874999999999996,36.15,17.095000000000002,4.12,39.494
78.0,0.48874999999999996,35.44,17.94,4.32,47.606
84.0,0.47812499999999997,34.72,18.785,4.53,55.718
84.0,0.47812499999999997,34.78,17.94,4.85,50.804
7.199999999999999,0.48874999999999996,34.85,17.082,5.17,45.877
100.0,0.47812499999999997,34.93,18.07,4.87,54.782000000000004
100.0,0.4675,35.01,19.045,4.57,63.674
26.4,0.4675,35.45,17.212,4.49,60.723000000000006
8.4,0.4675,35.89,15.392,4.4,57.772
87.6,0.4675,36.3,15.431,3.99,48.88
93.6,0.456875,36.71,15.47,3.57,40.001
31.2,0.456875,36.77,15.782000000000002,3.71,37.141
2.4,0.456875,36.83,16.094,3.85,34.281000000000006
57.599999999999994,0.456875,36.7,15.574000000000002,3.97,44.044000000000004
37.199999999999996,0.456875,36.56,15.067,4.09,53.794000000000004
4.8,0.4675,36.36,15.379000000000001,4.35,46.644000000000005
85.2,0.47812499999999997,36.15,15.691,4.61,39.494
88.8,0.47812499999999997,36.2,14.872,4.62,38.545
69.6,0.47812499999999997,36.25,14.040000000000001,4.63,37.596000000000004
91.2,0.47812499999999997,36.12,14.482000000000001,4.7,41.418
93.6,0.4675,36.0,14.924000000000001,4.77,45.239999999999995
6.0,0.4675,35.88,15.379000000000001,4.84,49.062000000000005
9.6,0.4675,35.75,15.821,4.91,52.884
37.199999999999996,0.4675,35.59,15.652,4.59,50.07600000000001
36.0,0.456875,35.43,15.47,4.27,47.268
69.6,0.456875,35.48,15.444,4.22,46.579
33.6,0.4675,35.52,15.405,4.17,45.877
22.8,0.4675,35.52,15.925,4.06,60.086
31.2,0.456875,35.52,16.445,3.96,74.282
61.199999999999996,0.4675,35.42,16.224,3.88,74.282
4.8,0.47812499999999997,35.33,16.003,3.8,74.282
96.0,0.47812499999999997,35.24,16.588,3.98,83.018
81.6,0.4675,35.15,17.16,4.17,91.76700000000001
9.6,0.456875,35.34,16.276,4.12,66.144
63.599999999999994,0.44625,35.52,15.379000000000001,4.06,40.521
94.8,0.44625,35.53,15.639,3.96,56.537000000000006
81.6,0.43562499999999993,35.55,15.899000000000001,3.87,72.55300000000001
91.2,0.425,35.4,15.704,3.7,61.438
40.8,0.414375,35.25,15.509,3.53,50.323
33.6,0.425,35.35,14.559999999999999,3.34,53.794000000000004
74.39999999999999,0.414375,35.24,15.548000000000002,2.96,46.903999999999996
100.0,0.414375,35.13,16.536,2.58,40.001
1.2,0.425,35.03,16.172,2.74,40.001
30.0,0.425,34.92,15.808000000000002,2.9,40.001
48.0,0.414375,34.83,16.12,2.88,46.436
92.39999999999999,0.414375,34.73,16.419,2.86,52.884
79.2,0.414375,34.74,15.001999999999999,2.99,48.412000000000006
62.4,0.414375,34.76,13.572,3.12,43.94
100.0,0.414375,34.7,13.975,3.08,39.689
31.2,0.40375,34.63,14.378000000000002,3.05,35.451
45.6,0.414375,34.56,14.677,3.1,34.866
57.599999999999994,0.414375,34.49,14.975999999999999,3.16,34.281000000000006
14.399999999999999,0.425,34.48,12.675,3.52,32.89
61.199999999999996,0.414375,34.46,10.374,3.87,31.512
99.6,0.40375,34.26,11.882000000000001,3.7,40.924
76.8,0.40375,34.07,13.403,3.52,50.323
42.0,0.40375,33.83,13.975,3.5,56.992000000000004
97.2,0.40375,33.58,14.547,3.48,63.674
56.4,0.393125,33.44,13.338000000000001,3.6,46.410000000000004
21.599999999999998,0.3825,33.31,12.142,3.72,29.159
64.8,0.3825,33.13,12.272,3.88,43.472
72.0,0.3825,32.95,12.402,4.05,57.772
24.0,0.3825,32.82,11.713000000000001,4.17,51.818
46.8,0.393125,32.69,11.024000000000001,4.29,45.877
22.8,0.393125,32.64,10.933,4.14,36.166000000000004
73.2,0.40375,32.59,10.842,3.98,26.442
48.0,0.40375,32.45,10.868,3.94,27.742
44.4,0.414375,32.3,10.907000000000002,3.9,29.055000000000003
73.2,0.414375,32.16,10.933,3.86,30.368
84.0,0.40375,32.02,10.959,3.82,31.668
48.0,0.393125,31.87,10.998000000000001,3.78,32.968
100.0,0.393125,31.73,11.024000000000001,3.74,34.281000000000006
72.0,0.40375,31.54,10.543,3.86,32.214000000000006
6.0,0.414375,31.34,10.062000000000001,3.99,30.134
9.6,0.414375,31.15,9.581000000000001,4.12,28.067
69.6,0.414375,30.96,9.1,4.24,26.0
1.2,0.414375,30.75,8.424000000000001,4.5,23.322000000000003
78.0,0.425,30.54,7.761,4.75,20.657
60.0,0.425,30.44,8.06,4.79,19.188
2.4,0.414375,30.35,8.372000000000002,4.83,17.732000000000003
33.6,0.414375,30.13,7.6049999999999995,5.22,22.919
67.2,0.40375,29.91,6.825,5.61,28.106
42.0,0.414375,29.58,5.8500000000000005,6.22,28.912
19.2,0.414375,29.24,4.862,6.82,29.718
100.0,0.414375,29.03,5.226,7.38,23.868
39.6,0.414375,28.83,5.577,7.93,18.031
48.0,0.425,28.68,5.252000000000001,8.25,20.41
90.0,0.43562499999999993,28.54,4.9270000000000005,8.56,22.776
51.6,0.425,28.34,5.226,9.15,26.104
100.0,0.425,28.14,5.525,9.74,29.432000000000002
100.0,0.425,28.22,6.577999999999999,9.64,30.628
80.39999999999999,0.425,28.3,7.618,9.54,31.837
99.6,0.425,28.09,7.175999999999999,10.34,38.857
100.0,0.43562499999999993,27.88,6.721,11.15,45.877
74.39999999999999,0.43562499999999993,27.74,7.306,11.73,44.304
100.0,0.425,27.61,7.891000000000001,12.3,42.74400000000001
12.0,0.414375,27.38,6.786,13.09,33.852
24.0,0.425,27.16,5.668000000000001,13.88,24.96
74.39999999999999,0.425,26.84,4.914,14.36,25.597
60.0,0.425,26.52,4.16,14.83,26.221000000000004
42.0,0.425,26.29,4.0040000000000004,14.93,27.56
99.6,0.43562499999999993,26.06,3.861,15.04,28.886
6.0,0.425,25.94,3.718,15.08,24.505000000000003
32.4,0.425,25.81,3.575,15.12,20.124000000000002
40.8,0.425,25.73,3.978,15.58,20.332
38.4,0.425,25.65,4.394,16.05,20.527
36.0,0.414375,25.59,4.758,16.13,20.592
75.6,0.40375,25.53,5.122,16.22,20.657
73.2,0.40375,25.51,4.979,15.56,23.439000000000004
72.0,0.393125,25.49,4.836,14.89,26.221000000000004
64.8,0.393125,25.63,5.8629999999999995,14.34,28.86
85.2,0.40375,25.77,6.903,13.78,31.512
16.8,0.40375,25.8,6.591,13.56,39.754
46.8,0.414375,25.82,6.279,13.34,47.996
48.0,0.425,25.74,6.305,13.36,43.992000000000004
60.0,0.425,25.65,6.3180000000000005,13.38,40.001
87.6,0.425,25.64,6.63,13.32,43.992000000000004
44.4,0.425,25.62,6.942,13.25,47.996
51.6,0.43562499999999993,25.38,6.786,14.4,43.498000000000005
91.2,0.425,25.15,6.63,15.54,39.0
63.599999999999994,0.425,25.04,6.955,16.4,37.557
85.2,0.414375,24.94,7.267,17.26,36.114000000000004
31.2,0.40375,24.83,7.592,18.12,34.67100000000001
14.399999999999999,0.40375,24.82,8.164000000000001,18.26,42.913
80.39999999999999,0.414375,24.82,8.736,18.41,51.142
20.4,0.40375,24.84,8.84,18.22,53.937000000000005
31.2,0.414375,24.85,8.931000000000001,18.02,56.732
93.6,0.414375,24.91,9.048,17.3,53.534
36.0,0.414375,24.97,9.177999999999999,16.58,50.323
24.0,0.414375,24.88,8.762,16.43,48.438
94.8,0.414375,24.79,8.359,16.29,46.566
48.0,0.40375,24.66,8.372000000000002,16.19,44.356
12.0,0.40375,24.52,8.372000000000002,16.09,42.159
100.0,0.414375,24.45,8.151,15.62,44.707
13.2,0.414375,24.38,7.93,15.14,47.268
75.6,0.40375,24.29,7.696,14.94,44.707
48.0,0.40375,24.2,7.449000000000001,14.75,42.159
39.6,0.393125,24.11,6.812,14.77,39.013000000000005
90.0,0.40375,24.02,6.188,14.79,35.867000000000004
28.799999999999997,0.40375,23.82,5.941000000000001,15.1,34.528
78.0,0.40375,23.62,5.694,15.41,33.189
42.0,0.393125,23.51,5.174,15.27,30.784
52.8,0.3825,23.4,4.667,15.13,28.366
46.8,0.3825,23.33,5.538,15.57,33.93
15.6,0.3825,23.26,6.396,16.0,39.494
24.0,0.3825,23.1,6.526,18.12,37.271
98.39999999999999,0.3825,22.94,6.656000000000001,20.25,35.061
86.39999999999999,0.371875,22.85,5.668000000000001,20.45,27.404
67.2,0.371875,22.76,4.693,20.65,19.747
16.8,0.3825,22.56,5.525,21.04,28.444
30.0,0.3825,22.36,6.357,21.44,37.141
15.6,0.3825,22.42,6.461,20.72,33.566
51.6,0.3825,22.47,6.577999999999999,19.99,30.003999999999998
74.39999999999999,0.371875,22.41,5.967,19.48,23.959
67.2,0.371875,22.35,5.356000000000001,18.97,17.927
72.0,0.371875,22.46,7.059,18.12,22.529
100.0,0.36124999999999996,22.58,8.749,17.26,27.131000000000004
55.199999999999996,0.35062499999999996,22.69,8.827,16.78,35.230000000000004
9.6,0.36124999999999996,22.8,8.905,16.31,43.329
15.6,0.371875,22.77,9.113,16.06,38.259
66.0,0.3825,22.74,9.321,15.82,33.189
78.0,0.393125,22.6,8.372000000000002,16.02,32.344
40.8,0.393125,22.46,7.423,16.22,31.512
66.0,0.40375,22.24,6.617,16.61,28.444
38.4,0.40375,22.03,5.811,17.0,25.363000000000003
72.0,0.414375,21.86,5.031000000000001,17.4,22.373
96.0,0.414375,21.69,4.264,17.8,19.383
26.4,0.40375,21.44,3.575,18.58,17.524
2.4,0.40375,21.19,2.8860000000000006,19.35,15.678
37.199999999999996,0.40375,21.12,4.537000000000001,20.23,21.294
70.8,0.40375,21.04,6.175,21.1,26.897000000000002
32.4,0.40375,21.38,7.800000000000001,20.2,33.449000000000005
50.4,0.393125,21.71,9.412,19.31,40.001
22.8,0.3825,21.76,8.918000000000001,19.27,41.964000000000006
44.4,0.3825,21.81,8.437000000000001,19.23,43.94
20.4,0.393125,21.64,7.904000000000001,19.92,39.689
50.4,0.40375,21.46,7.3580000000000005,20.61,35.451
100.0,0.40375,21.37,7.54,20.76,32.162
32.4,0.414375,21.28,7.709,20.92,28.886
14.399999999999999,0.414375,21.33,8.346,20.92,32.799
31.2,0.414375,21.38,8.996,20.92,36.711999999999996
42.0,0.414375,21.28,8.671,21.41,40.014
100.0,0.414375,21.19,8.346,21.9,43.329
52.8,0.425,21.16,8.541,22.01,43.043
100.0,0.425,21.13,8.736,22.12,42.74400000000001
7.199999999999999,0.414375,21.02,9.347000000000001,22.5,45.99400000000001
84.0,0.425,20.92,9.971,22.88,49.231
91.2,0.425,20.82,10.582,23.25,52.468
8.4,0.425,20.71,11.206,23.63,55.718
100.0,0.43562499999999993,20.72,10.296,23.19,49.504
100.0,0.425,20.72,9.399000000000001,22.74,43.303000000000004
76.8,0.425,20.73,8.502,22.3,37.102
18.0,0.43562499999999993,20.74,7.592,21.86,30.888
21.599999999999998,0.43562499999999993,20.6,7.3580000000000005,22.1,33.384
60.0,0.43562499999999993,20.46,7.1240000000000006,22.33,35.867000000000004
43.199999999999996,0.425,20.38,7.332,22.6,32.903
97.2,0.425,20.3,7.54,22.88,29.926000000000002
79.2,0.43562499999999993,20.22,7.761,23.15,26.962
100.0,0.425,20.14,7.969,23.42,23.998
6.0,0.425,20.12,7.748,23.38,34.294
100.0,0.425,20.09,7.514,23.34,44.577
16.8,0.425,20.01,7.345000000000001,23.66,44.785000000000004
38.4,0.43562499999999993,19.93,7.189000000000001,23.99,45.006
3.5999999999999996,0.43562499999999993,19.85,7.0200000000000005,24.31,45.214000000000006
24.0,0.43562499999999993,19.62,7.982,25.28,39.936
63.599999999999994,0.44625,19.4,8.931000000000001,26.25,34.67100000000001
10.799999999999999,0.44625,19.21,8.424000000000001,26.8,35.906000000000006
7.199999999999999,0.44625,19.02,7.904000000000001,27.36,37.141
94.8,0.44625,18.74,5.654999999999999,28.08,30.654
91.2,0.44625,18.45,3.406,28.79,24.180000000000003
92.39999999999999,0.44625,18.28,4.082000000000001,29.61,23.816000000000003
75.6,0.44625,18.11,4.758,30.43,23.465000000000003
3.5999999999999996,0.43562499999999993,18.01,5.668000000000001,30.62,27.482000000000003
48.0,0.425,17.91,6.565,30.8,31.512
37.199999999999996,0.425,18.06,7.566000000000001,29.96,33.28
100.0,0.425,18.22,8.58,29.13,35.061
9.6,0.425,18.24,8.112,28.95,33.956
44.4,0.43562499999999993,18.25,7.657,28.77,32.838
26.4,0.425,18.24,7.787000000000001,28.24,34.996
84.0,0.43562499999999993,18.22,7.93,27.7,37.141
100.0,0.425,18.26,7.644,27.26,33.566
34.8,0.425,18.3,7.371,26.83,30.003999999999998
21.599999999999998,0.425,18.32,7.54,26.9,31.681
98.39999999999999,0.414375,18.33,7.722,26.98,33.358000000000004
100.0,0.414375,18.34,7.891000000000001,27.06,35.035000000000004
14.399999999999999,0.414375,18.36,8.06,27.13,36.711999999999996
76.8,0.414375,18.58,8.944,26.56,43.524
19.2,0.425,18.8,9.815,25.98,50.323
56.4,0.43562499999999993,19.12,10.790000000000001,25.23,52.052
61.199999999999996,0.425,19.44,11.778,24.48,53.794000000000004
6.0,0.43562499999999993,19.71,10.569,23.94,55.263
100.0,0.43562499999999993,19.98,9.360000000000001,23.4,56.732
38.4,0.425,20.46,9.035,22.37,47.853
19.2,0.425,20.94,8.71,21.34,38.974000000000004
50.4,0.43562499999999993,21.43,8.372000000000002,20.3,30.108
100.0,0.425,21.91,8.047,19.27,21.229
100.0,0.425,22.48,8.762,18.02,33.903999999999996
96.0,0.425,23.06,9.49,16.76,46.566
69.6,0.414375,23.64,9.698,15.44,34.918
100.0,0.414375,24.22,9.906,14.13,23.283
93.6,0.414375,24.66,11.206,13.18,49.686
45.6,0.414375,25.1,12.519000000000002,12.22,76.102
46.8,0.414375,25.65,12.662,11.43,75.19200000000001
10.799999999999999,0.414375,26.19,12.792,10.64,74.282
87.6,0.40375,26.74,12.792,9.84,77.14200000000001
92.39999999999999,0.393125,27.3,12.779,9.03,80.002
19.2,0.3825,27.61,13.468,8.72,102.401
67.2,0.3825,27.92,14.144000000000002,8.41,124.80000000000001
9.6,0.393125,28.06,14.924000000000001,8.38,122.486
32.4,0.393125,28.2,15.691,8.34,120.172
34.8,0.393125,28.35,16.458000000000002,8.3,117.87100000000001
20.4,0.40375,28.49,17.238,8.27,115.557
72.0,0.414375,28.8,17.758,7.94,103.66199999999999
24.0,0.425,29.12,18.278000000000002,7.6,91.76700000000001
98.39999999999999,0.425,29.65,16.536,7.26,77.714
70.8,0.414375,30.17,14.794000000000002,6.91,63.674
55.199999999999996,0.40375,30.53,15.093,6.69,68.83500000000001
42.0,0.393125,30.9,15.392,6.46,73.99600000000001
80.39999999999999,0.393125,31.26,15.691,6.24,79.157
91.2,0.40375,31.62,15.990000000000002,6.02,84.318
2.4,0.414375,31.62,16.562,5.68,89.44
24.0,0.414375,31.62,17.134,5.33,94.549
43.199999999999996,0.414375,31.92,17.823,5.12,87.28200000000001
100.0,0.414375,32.21,18.512,4.92,80.002
8.4,0.414375,32.44,16.848000000000003,4.72,61.672
98.39999999999999,0.414375,32.66,15.197,4.53,43.329
24.0,0.40375,33.02,15.782000000000002,4.32,43.329
78.0,0.414375,33.38,16.367,4.11,43.329
38.4,0.414375,33.16,17.459,4.11,75.452
86.39999999999999,0.40375,32.94,18.551,4.11,107.58800000000001
87.6,0.414375,33.2,17.758,4.08,79.79400000000001
9.6,0.414375,33.45,16.978,4.05,52.0
8.4,0.414375,33.65,17.342,3.86,78.0
69.6,0.414375,33.84,17.693,3.67,104.0
81.6,0.40375,34.03,16.744000000000003,3.66,109.772
78.0,0.40375,34.22,15.782000000000002,3.66,115.557
37.199999999999996,0.40375,34.36,15.86,3.56,111.56599999999999
64.8,0.40375,34.51,15.938,3.45,107.58800000000001
14.399999999999999,0.414375,34.57,16.12,3.29,89.258
93.6,0.414375,34.63,16.289,3.13,70.91499999999999
86.39999999999999,0.425,34.75,16.796,3.02,75.452
20.4,0.425,34.86,17.316000000000003,2.91,80.002
13.2,0.425,34.76,16.77,2.93,60.007999999999996
76.8,0.414375,34.66,16.211000000000002,2.95,40.001
86.39999999999999,0.40375,34.74,16.77,2.76,53.196000000000005
26.4,0.393125,34.81,17.342,2.58,66.378
43.199999999999996,0.3825,34.3,17.485,2.76,65.02600000000001
21.599999999999998,0.3825,33.8,17.628,2.94,63.674
100.0,0.371875,33.34,17.914,3.16,80.587
25.2,0.3825,32.89,18.2,3.38,97.5
67.2,0.3825,32.86,16.951999999999998,3.64,77.636
87.6,0.393125,32.83,15.717,3.91,57.772
94.8,0.40375,33.33,14.43,3.63,44.642
67.2,0.40375,33.82,13.13,3.35,31.512
98.39999999999999,0.414375,33.83,14.872,3.38,56.81
92.39999999999999,0.425,33.83,16.614,3.41,82.108
94.8,0.425,34.0,15.665000000000001,3.35,80.054
12.0,0.414375,34.18,14.716000000000001,3.29,78.0
68.39999999999999,0.425,34.48,14.664,3.23,71.5
81.6,0.414375,34.77,14.612,3.17,65.0
55.199999999999996,0.414375,34.58,15.366000000000001,3.02,75.84200000000001
99.6,0.414375,34.38,16.12,2.88,86.671
31.2,0.414375,34.13,14.351999999999999,3.16,71.708
93.6,0.414375,33.88,12.571,3.43,56.732
8.4,0.425,34.12,13.871,3.4,56.225
57.599999999999994,0.425,34.37,15.171000000000001,3.37,55.718
40.8,0.425,34.07,14.677,3.49,46.214999999999996
57.599999999999994,0.414375,33.77,14.183,3.6,36.711999999999996
6.0,0.40375,33.76,14.313,3.53,48.061
18.0,0.414375,33.76,14.456,3.46,59.410000000000004
57.599999999999994,0.414375,33.76,14.586000000000002,3.39,70.759
57.599999999999994,0.40375,33.75,14.716000000000001,3.32,82.108
88.8,0.414375,33.55,15.886000000000001,3.34,111.956
12.0,0.414375,33.35,17.043,3.36,141.817
27.599999999999998,0.40375,33.39,15.509,3.13,99.281
42.0,0.40375,33.42,13.988,2.9,56.732
88.8,0.40375,33.54,13.806,3.06,63.024
20.4,0.40375,33.67,13.624,3.21,69.329
44.4,0.40375,33.72,13.039,3.3,66.508
92.39999999999999,0.393125,33.77,12.454,3.39,63.674
52.8,0.3825,33.77,11.999,3.53,64.337
74.39999999999999,0.371875,33.77,11.544000000000002,3.66,65.0
84.0,0.36124999999999996,33.76,12.688,3.35,67.964
22.8,0.35062499999999996,33.74,13.819,3.04,70.91499999999999
10.799999999999999,0.36124999999999996,33.72,13.234,3.22,73.528
60.0,0.371875,33.7,12.649000000000001,3.41,76.128
78.0,0.3825,33.67,12.064,3.6,78.72800000000001
10.799999999999999,0.393125,33.65,11.479000000000001,3.78,81.34100000000001
50.4,0.393125,33.45,11.973,3.68,83.95400000000001
26.4,0.393125,33.25,12.467,3.58,86.554
68.39999999999999,0.40375,33.04,12.961000000000002,3.49,89.167
30.0,0.40375,32.84,13.455,3.39,91.76700000000001
30.0,0.393125,32.75,13.416,3.4,85.501
19.2,0.393125,32.66,13.39,3.4,79.222
94.8,0.3825,32.56,13.350999999999999,3.4,72.956
100.0,0.3825,32.47,13.312000000000001,3.41,66.69
2.4,0.3825,32.38,13.273000000000001,3.42,60.411
39.6,0.393125,32.29,13.234,3.42,54.145
96.0,0.3825,32.19,13.208,3.42,47.866
100.0,0.371875,32.1,13.169000000000002,3.43,41.6
36.0,0.371875,31.95,13.065000000000001,3.66,40.781000000000006
100.0,0.36124999999999996,31.8,12.961000000000002,3.89,39.975
1.2,0.36124999999999996,31.66,12.870000000000001,4.12,39.156000000000006
54.0,0.36124999999999996,31.51,12.766,4.34,38.336999999999996
63.599999999999994,0.371875,31.36,12.662,4.57,37.531000000000006
46.8,0.371875,31.21,12.558,4.8,36.711999999999996
2.4,0.3825,30.98,11.596,5.4,45.25300000000001
60.0,0.3825,30.76,10.634,6.0,53.794000000000004
49.199999999999996,0.3825,30.55,11.583,5.78,44.824
91.2,0.393125,30.34,12.545000000000002,5.56,35.867000000000004
13.2,0.3825,30.18,11.700000000000001,5.58,41.21
70.8,0.3825,30.02,10.868,5.61,46.566
96.0,0.371875,29.8,10.647,5.9,40.612
25.2,0.36124999999999996,29.58,10.426,6.19,34.67100000000001
44.4,0.371875,29.35,10.192,6.48,28.730000000000004
24.0,0.371875,29.13,9.971,6.77,22.776
88.8,0.3825,28.82,8.84,7.57,24.726
62.4,0.371875,28.52,7.709,8.37,26.663000000000004
20.4,0.371875,28.24,8.281,8.67,23.881000000000004
24.0,0.3825,27.97,8.853,8.97,21.086
37.199999999999996,0.3825,27.86,8.788,8.16,19.409
6.0,0.3825,27.76,8.71,7.35,17.732000000000003
73.2,0.3825,27.68,8.606,6.88,18.993
84.0,0.393125,27.61,8.515,6.41,20.254
74.39999999999999,0.40375,27.42,7.3839999999999995,6.67,19.084
66.0,0.414375,27.23,6.266000000000001,6.93,17.927
78.0,0.425,26.97,7.072000000000001,7.48,17.784
99.6,0.425,26.71,7.878,8.02,17.628
62.4,0.425,26.63,7.514,8.32,25.415000000000003
48.0,0.425,26.55,7.15,8.63,33.189
100.0,0.425,26.44,7.202,8.72,28.977
92.39999999999999,0.414375,26.32,7.267,8.81,24.765
88.8,0.40375,26.12,6.5520000000000005,9.0,27.378
43.199999999999996,0.40375,25.93,5.837000000000001,9.18,30.003999999999998
3.5999999999999996,0.393125,25.96,6.266000000000001,9.11,23.53
14.399999999999999,0.3825,26.0,6.695,9.04,17.043
64.8,0.393125,26.05,7.228,8.93,18.031
38.4,0.40375,26.1,7.748,8.81,19.019000000000002
33.6,0.393125,26.05,7.6049999999999995,8.85,20.345000000000002
100.0,0.40375,26.0,7.462000000000001,8.88,21.671000000000003
72.0,0.414375,25.92,7.566000000000001,9.12,27.092000000000002
